E.C,TDS,Cl,NO3 ,Na,T.H,Mg,SAR,Ca,K,Classification
342,218.88,30,2.617136364,43.0,99.97532895,14.586,1.869795881,16.0,2.0,Moderate
546,349.44,40,32.41222727,60.0,179.9506579,29.172,1.944673495,24.0,2.0,Moderate
1095,700.8,170,182.7969091,148.0,359.8930921,63.206,3.391931898,40.0,3.0,Poor
1302,833.28,140,209.27025,79.85293591,479.9013158,58.344,1.58484605,96.0,3.14,Poor
2430,1555.2,470,78.8362,147.4961885,899.7286184,160.446,2.137948277,96.0,5.3,Bad
1856,1187.84,250,162.5443,171.5126738,559.9506579,29.172,3.151327228,176.0,3.5,Poor
1173,750.72,230,8.437245,87.66690542,399.9177632,48.62,1.905998231,80.0,1.46,Poor
587,375.68,40,12.97697,34.05380163,219.9753289,14.586,0.99827634,64.0,1.9,Moderate
1728,1105.92,300,240.4947,95.43079899,659.9259868,43.758,1.615150918,192.0,4.11,Poor
649,415.36,70,37.42505,38.98749683,239.9588816,24.31,1.094281613,56.0,2.37,Moderate
1778,1137.92,300,122.6833,121.9907584,579.9177632,48.62,2.202499859,152.0,41.27,Poor
1919,1228.16,260,38.75375,215.73876,499.8930921,63.206,4.195287948,96.0,0.16,Poor
1404,898.56,260,189.1183,76.33240433,539.9342105,38.896,1.428271214,152.0,2.46,Poor
1506,963.84,180,186.23945,107.1757466,519.9177632,48.62,2.043625691,128.0,5.96,Poor
1161,743.04,140,125.56215,84.98350433,399.9342105,38.896,1.847619434,96.0,1.27,Poor
1356,867.84,180,79.2791,111.5437787,439.8766447,72.93,2.312341986,56.0,1.89,Poor
1007,644.48,160,56.91265,104.2529963,279.9671053,19.448,2.708988779,80.0,1.51,Poor
1475,944.0,280,10.6296,157.598808,399.9671053,19.448,3.426201927,128.0,1.8,Poor
1339,856.96,150,65.9921,70.41989156,519.8601974,82.654,1.342839885,72.0,2.54,Poor
1778,1137.92,300,122.6833,121.9907584,579.9177632,48.62,2.202499859,152.0,41.27,Poor
1249,799.36,200,17.93745,67.8796969,479.8684211,77.792,1.347258626,64.0,2.59,Poor
1174,751.36,90,41.41115,104.6739926,359.9342105,38.896,2.398829551,80.0,4.21,Poor
1268,811.52,170,105.18875,80.5001113,459.9177632,48.62,1.632031561,104.0,4.24,Poor
1549,991.36,320,56.2483,109.548683,539.9013158,58.344,2.049850234,120.0,3.28,Poor
813,520.32,30,14.239235,59.43722198,279.9342105,38.896,1.544552514,48.0,1.11,Poor
1186,759.04,90,34.302605,154.8754567,259.9424342,34.034,4.176535463,48.0,1.8,Poor
1552,993.28,270,31.003,209.0,299.9177632,48.62,5.247076015,40.0,28.0,Poor
763,488.32,120,17.11204545,84.0,199.9506579,29.172,2.582795561,32.0,10.0,Poor
1699,1087.36,190,1.811863636,136.0,279.9259868,43.758,3.534186498,40.0,1.0,Poor
1250,800.0,230,89.18395455,182.0,219.9588816,24.31,5.335471453,48.0,8.0,Poor
1210,774.4,180,110.9263182,145.0,239.9506579,29.172,4.06985741,48.0,21.0,Poor
580,371.2,10,33.2175,14.1310685,259.9424342,34.034,0.381073347,48.0,1.75,Moderate
1872,1198.08,270,239.166,121.5265423,679.8930921,63.206,2.026389802,168.0,1.0,Poor
900,576.0,80,40.52535,32.06496904,379.9342105,38.896,0.71523505,88.0,3.8,Poor
463,296.32,70,2.6574,41.8859952,139.9835526,9.724,1.539226377,40.0,2.17,Moderate
955,611.2,50,35.432,82.63768615,299.9424342,34.034,2.074585588,64.0,2.1,Bad
1870,1196.8,380,272.3835,101.4417798,719.8601974,82.654,1.643860438,152.0,3.1,Poor
2350,1504.0,530,205.9485,257.8130012,619.8930921,63.206,4.50213569,144.0,5.0,Bad
1262,807.68,180,42.29695,98.64370488,419.9259868,43.758,2.092932218,96.0,2.3,Poor
1130,723.2,150,88.58,76.98178831,399.9095395,53.482,1.673706403,72.0,2.65,Poor
1943,1243.52,340,101.867,257.3996798,419.8601974,82.654,5.461699647,32.0,1.4,Poor
970,620.8,60,59.7915,94.31462036,279.9588816,24.31,2.45077849,72.0,3.8,Poor
1184,757.76,110,108.5105,51.88061293,479.8930921,63.206,1.029686486,88.0,4.1,Poor
1010,646.4,80,25.46675,141.4692268,199.9506579,29.172,4.349834416,32.0,2.0,Poor
4860,3110.4,1050,44.29,161.7915062,2099.638158,213.928,1.535167097,488.0,2.3,Bad
1734,1109.76,310,106.296,97.65486215,659.8601974,82.654,1.652875221,128.0,2.75,Poor
473,302.72,20,9.7438,25.95773746,179.9671053,19.448,0.841283622,40.0,1.93,Moderate
1033,661.12,170,70.864,55.10541238,399.9013158,58.344,1.198091547,64.0,1.54,Poor
782,500.48,30,84.151,33.36323429,319.9259868,43.758,0.810990095,56.0,1.92,Poor
1090,697.6,70,77.5075,39.58012307,459.9177632,48.62,0.802433798,104.0,3.51,Poor
